Index Holdings and weightings as of 6:38 PM ET 03/21/2025,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
LIN,Linde plc,22.57%,458.33,+0.58,+0.13%,4.97 M,410.69 - 487.49
SHW,Sherwin-Williams Co,8.01%,334.41,-1.62,-0.48%,3.48 M,282.09 - 400.42
APD,Air Products & Chemicals Inc,6.71%,291.65,-1.27,-0.43%,2.88 M,227.53 - 341.14
ECL,Ecolab Inc,6.54%,251.00,-0.94,-0.37%,3.03 M,217.05 - 273.69
FCX,Freeport-McMoRan Inc,5.98%,40.25,-0.45,-1.11%,22.34 M,33.98 - 55.24
NEM,Newmont Corp,5.58%,47.36,-0.40,-0.84%,27.91 M,33.77 - 58.72
CTVA,Corteva Inc.,4.39%,61.72,-0.11,-0.18%,6.88 M,50.01 - 66.24
DD,DuPont de Nemours Inc.,3.25%,75.17,-1.76,-2.29%,4.41 M,72.38 - 90.06
VMC,Vulcan Materials Co,3.20%,234.08,-4.64,-1.94%,2.06 M,215.08 - 298.31
MLM,Martin Marietta Materials,3.02%,477.03,-6.75,-1.40%,0.86 M,448.50 - 633.23
NUE,Nucor Corp,2.96%,122.01,-7.49,-5.78%,10.01 M,112.25 - 203.00
IP,Intl Paper Co,2.79%,51.39,-0.90,-1.72%,14.55 M,33.16 - 60.36
PPG,PPG Industries Inc,2.66%,110.73,-0.53,-0.48%,3.16 M,109.15 - 145.61
DOW,Dow Inc,2.62%,36.17,-0.44,-1.20%,13.26 M,35.48 - 60.69
SW,Smurfit WestRock plc,2.26%,44.21,-1.50,-3.28%,9.22 M,38.55 - 56.99
IFF,Intl Flavors & Fragrances,2.06%,77.84,-1.50,-1.89%,3.93 M,77.28 - 106.77
LYB,LyondellBasell Industries N.V.,1.92%,71.55,-1.14,-1.57%,12.99 M,70.75 - 107.02
STLD,Steel Dynamics Inc,1.80%,122.67,-3.97,-3.13%,6.34 M,104.60 - 155.56
PKG,Packaging Corp of America,1.79%,194.41,-2.77,-1.40%,2.54 M,169.00 - 250.82
BALL,Ball Corp,1.56%,50.69,-0.88,-1.71%,4.07 M,48.95 - 71.32
AVY,Avery Dennison Corp,1.45%,174.58,-2.47,-1.40%,1.49 M,173.02 - 233.48
AMCR,Amcor plc,1.41%,9.44,-0.28,-2.88%,61.91 M,8.80 - 11.48
CF,CF Industries Holdings,1.38%,76.78,-0.14,-0.18%,7.51 M,69.13 - 98.25
EMN,Eastman Chemical Co,1.06%,88.69,-1.19,-1.32%,2.39 M,86.70 - 114.50
ALB,Albemarle Corp,0.94%,77.56,+0.53,+0.69%,4.48 M,67.23 - 137.50
MOS,Mosaic Co,0.91%,27.83,-0.55,-1.94%,7.38 M,22.48 - 33.44
CE,Celanese Corp A,0.65%,57.10,+0.28,+0.49%,27.64 M,45.94 - 172.16
FMC,FMC Corp,0.54%,41.51,-0.75,-1.77%,38.26 M,33.80 - 68.72
