Index Holdings and weightings as of 6:38 PM ET 03/21/2025,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
META,"Meta Platforms, Inc. Class A",18.83%,596.25,+10.25,+1.75%,25.02 M,414.50 - 740.91
GOOGL,Alphabet Inc A,9.21%,163.99,+1.19,+0.73%,36.63 M,147.22 - 207.05
GOOG,Alphabet Inc C,7.61%,166.25,+1.20,+0.73%,29.88 M,148.20 - 208.70
NFLX,NetFlix Inc,7.27%,960.29,+9.45,+0.99%,5.91 M,542.01 - 1064.50
T,AT&T Inc,5.41%,27.02,+0.23,+0.86%,91.27 M,15.94 - 27.97
TTWO,Take-Two Interactive Software,5.27%,213.47,+3.84,+1.83%,3.63 M,135.24 - 218.75
TMUS,T-Mobile US Inc,5.14%,255.84,-1.19,-0.46%,9.21 M,158.84 - 276.49
VZ,Verizon Communications Inc,4.93%,43.99,+0.24,+0.55%,68.45 M,37.59 - 47.36
CHTR,Charter Communications Inc A,4.52%,363.81,+1.23,+0.34%,1.57 M,236.08 - 415.27
CMCSA,Comcast Corp A,4.35%,36.75,+0.25,+0.68%,54.56 M,32.50 - 45.31
EA,Electronic Arts,4.14%,144.30,+1.05,+0.73%,9.25 M,115.21 - 168.50
DIS,Walt Disney Co,4.08%,99.46,+0.60,+0.61%,15.09 M,83.91 - 123.74
WBD,Warner Bros Discovery Inc.,3.98%,10.74,+0.09,+0.85%,55.5 M,6.64 - 12.70
LYV,Live Nation Entertainment Inc.,3.21%,123.06,+0.92,+0.75%,3.08 M,86.81 - 157.75
OMC,Omnicom Group,2.63%,81.14,+0.45,+0.56%,11.64 M,78.69 - 107.00
FOXA,Fox Corp A,1.96%,53.40,+0.19,+0.36%,16.69 M,29.89 - 58.74
NWSA,News Corp A,1.70%,27.04,-0.12,-0.44%,6.21 M,22.65 - 30.69
IPG,Interpublic Group Cos,1.64%,26.51,+0.04,+0.15%,42.35 M,25.85 - 33.27
MTCH,"Match Group, Inc.",1.27%,30.49,-0.72,-2.31%,18.73 M,27.66 - 38.84
PARA,Paramount Global Class B,1.17%,11.86,-0.07,-0.59%,14.23 M,9.54 - 14.54
FOX,Fox Corp B,1.09%,49.70,+0.30,+0.61%,3.1 M,27.21 - 55.00
NWS,News Corp B,0.57%,30.77,-0.28,-0.90%,1.88 M,23.99 - 35.25
