Index Holdings and weightings as of 6:38 PM ET 03/21/2025,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
BRK.b,Berkshire Hathaway B,13.80%,521.91,-6.82,-1.29%,8.55 M,395.66 - 530.61
JPM,JP Morgan Chase & Co,9.81%,241.63,+2.62,+1.10%,19.33 M,179.20 - 280.25
V,Visa Inc A,8.37%,335.66,-3.84,-1.13%,17.28 M,252.70 - 366.54
MA,Mastercard Inc A,6.33%,535.69,-0.69,-0.13%,5.97 M,428.86 - 582.23
BAC,Bank of America Corp,4.09%,42.47,-0.01,-0.02%,65.01 M,34.15 - 48.08
WFC,Wells Fargo & Co,3.48%,72.52,0.00,0.00%,32.65 M,50.15 - 81.50
GS,Goldman Sachs Group Inc,2.56%,565.14,+2.46,+0.44%,3.57 M,387.12 - 672.19
PGR,Progressive Corp,2.31%,272.86,-1.76,-0.64%,7.28 M,201.34 - 292.99
SPGI,S&P Global Inc,2.28%,497.88,+0.68,+0.14%,2.6 M,407.69 - 545.39
AXP,American Express Co,2.17%,270.51,-0.32,-0.12%,4.23 M,214.51 - 326.28
MS,Morgan Stanley,2.15%,120.14,-0.33,-0.27%,10.99 M,85.01 - 142.03
BLK,BlackRock Inc,2.00%,951.73,-2.44,-0.26%,5.21 M,745.55 - 1084.22
C,Citigroup Inc,1.96%,71.98,+0.16,+0.22%,21.72 M,53.51 - 84.74
SCHW,Charles Schwab Corp,1.93%,78.39,-0.18,-0.23%,11.84 M,61.01 - 84.50
FI,Fiserv Inc,1.79%,218.09,-3.70,-1.67%,3.54 M,145.98 - 238.59
MMC,Marsh & McLennan Companies,1.65%,232.31,-1.06,-0.45%,3.07 M,196.17 - 241.84
CB,Chubb Limited,1.58%,291.43,-2.69,-0.91%,3.15 M,238.85 - 302.05
BX,Blackstone Inc.,1.54%,148.29,-0.46,-0.31%,8.38 M,115.82 - 200.96
ICE,Intercontinental Exchange Inc,1.44%,174.39,-1.20,-0.68%,4.72 M,124.34 - 175.99
CME,CME Group Inc A,1.37%,263.35,-3.19,-1.20%,7.24 M,190.70 - 267.91
AON,Aon plc,1.22%,390.35,-2.82,-0.72%,1.36 M,268.06 - 412.97
AJG,Arthur J. Gallagher & Co,1.20%,331.79,-2.65,-0.79%,2.68 M,230.08 - 345.43
KKR,KKR & Co Inc,1.13%,116.50,-0.21,-0.18%,6.08 M,91.92 - 170.40
MCO,Moody's Corp,1.03%,459.49,-0.30,-0.07%,1.09 M,360.05 - 531.93
PYPL,PayPal Holdings Inc.,1.01%,70.19,+0.52,+0.75%,14.6 M,56.97 - 93.66
PNC,PNC Finl Services Group,0.99%,173.61,+0.20,+0.12%,5.5 M,143.52 - 216.26
USB,US Bancorp,0.96%,42.84,+0.23,+0.54%,69 M,37.81 - 53.98
COF,Capital One Financial,0.96%,174.82,+0.35,+0.20%,5.08 M,128.23 - 210.67
APO,Apollo Global Management Inc.,0.92%,143.41,-1.36,-0.94%,4.01 M,95.11 - 189.49
BK,The Bank of New York Mellon Corp,0.88%,83.55,-0.38,-0.45%,9.72 M,52.64 - 90.34
TRV,Travelers Cos Inc,0.84%,256.70,-2.84,-1.09%,3.67 M,200.21 - 269.56
TFC,Truist Financial Corp,0.79%,41.42,+0.09,+0.22%,16.83 M,35.09 - 49.06
ALL,Allstate Corp,0.79%,206.47,-3.71,-1.77%,2.89 M,156.66 - 212.91
AFL,AFLAC Inc,0.78%,108.24,-0.46,-0.42%,5.33 M,79.31 - 115.50
AIG,American Intl Group Inc,0.75%,83.18,-0.53,-0.63%,15.95 M,69.00 - 84.99
MET,Metlife Inc,0.69%,82.36,-0.36,-0.44%,5.7 M,67.30 - 89.05
AMP,Ameriprise Financial Inc,0.69%,492.64,-0.44,-0.09%,1.41 M,385.74 - 582.05
MSCI,MSCI Inc,0.64%,562.56,-3.43,-0.61%,0.82 M,439.95 - 642.45
DFS,Discover Financial Services,0.60%,164.83,+0.36,+0.22%,1.94 M,119.31 - 205.76
FIS,Fidelity National Information,0.57%,73.35,-1.06,-1.42%,6.91 M,66.51 - 91.98
