Index Holdings and weightings as of 6:38 PM ET 03/21/2025,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
GE,GE Aerospace,5.43%,204.13,+0.20,+0.10%,7.98 M,133.99 - 212.19
RTX,RTX Corporation,4.33%,132.37,-2.10,-1.56%,9.55 M,94.19 - 135.74
CAT,Caterpillar Inc,3.99%,335.78,-0.47,-0.14%,6.77 M,307.05 - 418.50
UBER,Uber Technologies Inc.,3.93%,75.84,+1.49,+2.00%,26.55 M,54.84 - 87.00
UNP,Union Pacific Corp,3.49%,233.88,-0.91,-0.39%,4.17 M,218.55 - 258.07
HON,Honeywell Intl Inc,3.36%,210.12,-0.77,-0.37%,6.55 M,189.75 - 242.77
BA,Boeing Co,3.27%,178.11,+5.28,+3.06%,26.8 M,137.03 - 196.95
ADP,Automatic Data Processing,2.96%,295.32,-2.19,-0.74%,3.95 M,231.27 - 322.84
DE,Deere & Co,2.96%,472.43,-4.59,-0.96%,1.69 M,340.20 - 515.05
ETN,Eaton Corp plc,2.87%,295.44,-0.09,-0.03%,3.19 M,255.65 - 379.99
LMT,Lockheed Martin,2.28%,439.70,-27.04,-5.79%,7.14 M,419.70 - 618.95
GEV,"GE Vernova Inc,",2.26%,333.87,-2.96,-0.88%,3.01 M,0.00 - 0.00
UPS,United Parcel Service Inc B,2.07%,115.10,-1.88,-1.61%,19.58 M,109.40 - 158.95
WM,Waste Management Inc,2.02%,224.91,-1.99,-0.88%,2.54 M,196.59 - 235.81
MMM,3M Co,2.01%,150.36,-0.91,-0.60%,5.54 M,86.51 - 156.35
PH,Parker-Hannifin Corp,1.97%,622.10,-2.62,-0.42%,0.81 M,492.71 - 718.44
TT,Trane Technologies plc,1.92%,347.14,-2.19,-0.63%,1.71 M,286.32 - 422.00
TDG,TransDigm Group,1.86%,1346.12,-14.62,-1.07%,0.55 M,1176.31 - 1451.32
GD,General Dynamics,1.67%,263.41,-2.29,-0.86%,3.31 M,239.87 - 316.90
ITW,Illinois Tool Works Inc,1.66%,251.34,-2.02,-0.80%,1.57 M,232.77 - 279.13
NOC,Northrop Grumman Corp,1.65%,490.72,+1.49,+0.30%,2.08 M,418.60 - 555.57
CTAS,Cintas Corp,1.61%,191.17,-3.29,-1.69%,2.57 M,158.10 - 228.12
EMR,Emerson Electric Co,1.59%,113.11,+1.31,+1.17%,9.23 M,96.62 - 134.85
CSX,CSX Corporation,1.40%,29.57,-0.41,-1.37%,25.37 M,28.98 - 38.03
JCI,Johnson Controls International plc,1.36%,82.73,-0.42,-0.51%,6.99 M,59.83 - 91.14
CARR,Carrier Global Corp.,1.36%,66.17,-0.26,-0.39%,11.05 M,53.33 - 83.32
HWM,Howmet Aerospace Inc.,1.31%,130.85,-0.82,-0.62%,3.84 M,62.80 - 140.55
NSC,Norfolk Southern Corp,1.29%,231.75,-1.79,-0.77%,1.25 M,206.71 - 277.60
FDX,FedEx Corp,1.27%,230.33,-15.88,-6.45%,9.42 M,217.22 - 313.84
PCAR,PACCAR Inc,1.25%,97.11,-1.21,-1.23%,8.55 M,90.04 - 125.50
RSG,Republic Services Inc,1.17%,233.34,-1.52,-0.65%,1.63 M,180.92 - 240.95
CPRT,Copart Inc,1.16%,53.63,-0.22,-0.41%,5.95 M,48.05 - 64.38
PAYX,Paychex Inc,1.13%,143.02,-2.21,-1.52%,4.76 M,114.72 - 158.37
CMI,Cummins Inc,1.09%,322.10,-3.30,-1.01%,1.24 M,261.51 - 387.90
