Index Holdings and weightings as of 6:38 PM ET 03/21/2025,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
COST,Costco Wholesale Corp,9.80%,909.26,+13.86,+1.55%,3.45 M,697.27 - 1078.24
PG,Procter & Gamble,9.55%,166.69,-0.86,-0.51%,16.03 M,153.52 - 180.43
WMT,Walmart Inc.,9.08%,85.98,+0.41,+0.47%,26.8 M,58.56 - 105.30
KO,Coca-Cola Co,6.47%,68.67,-1.04,-1.49%,47.48 M,57.93 - 73.53
PM,Philip Morris International,5.73%,151.48,-0.99,-0.65%,11.19 M,87.82 - 159.51
MO,Altria Group Inc,4.89%,57.60,-0.49,-0.84%,33.84 M,40.65 - 59.67
PEP,PepsiCo Inc,4.85%,145.45,-1.70,-1.16%,11.57 M,141.51 - 183.41
MDLZ,Mondelez International Inc,4.75%,64.51,+0.56,+0.88%,25.43 M,53.95 - 76.06
CL,Colgate-Palmolive Co,4.49%,90.30,+0.02,+0.02%,8.95 M,85.32 - 109.30
TGT,Target Corp,2.92%,104.06,-0.14,-0.13%,31.07 M,101.76 - 181.86
KMB,Kimberly-Clark,2.81%,138.67,-0.41,-0.29%,7.44 M,123.84 - 150.45
KVUE,Kenvue Inc.,2.72%,23.31,-0.08,-0.34%,35.33 M,17.67 - 24.46
KR,Kroger Co,2.65%,65.40,+0.68,+1.05%,8.03 M,49.04 - 68.51
MNST,Monster Beverage Corporation,2.44%,57.31,+0.44,+0.77%,7.64 M,43.32 - 60.13
KDP,Keurig Dr Pepper Inc,2.44%,33.55,+0.12,+0.36%,18.01 M,29.53 - 38.28
SYY,Sysco Corp,2.12%,71.11,-0.08,-0.11%,4.9 M,69.03 - 82.33
GIS,General Mills Inc,1.98%,58.64,+0.33,+0.57%,48.56 M,55.15 - 75.90
STZ,Constellation Brands Inc A,1.68%,177.42,-1.46,-0.82%,6.62 M,160.46 - 274.87
CHD,Church & Dwight Co,1.60%,107.15,-0.92,-0.85%,2.54 M,96.35 - 116.46
KHC,The Kraft Heinz Company,1.58%,29.52,-0.19,-0.64%,25.26 M,27.25 - 38.96
HSY,Hershey Foods Corp,1.50%,167.18,+2.71,+1.65%,3.05 M,140.13 - 211.92
K,Kellanova,1.35%,82.51,+0.18,+0.22%,3.09 M,55.01 - 83.22
ADM,Archer-Daniels-Midland Co,1.34%,46.10,-0.42,-0.90%,50.98 M,44.92 - 66.08
MKC,McCormick & Co,1.23%,80.17,-0.53,-0.66%,3.78 M,66.88 - 86.24
DG,Dollar General Corp,1.12%,83.66,+1.99,+2.44%,6.96 M,66.43 - 164.12
CLX,Clorox Co,1.09%,144.84,-0.50,-0.34%,1.55 M,127.60 - 171.37
TSN,Tyson Foods Inc A,1.05%,60.43,+0.01,+0.02%,5.37 M,53.61 - 66.88
EL,Estee Lauder Cos. A,0.95%,66.95,-1.07,-1.57%,5.88 M,62.29 - 155.73
DLTR,Dollar Tree Inc,0.82%,66.75,+2.16,+3.34%,4.91 M,60.49 - 137.14
CAG,"Conagra Brands, Inc",0.75%,25.68,-0.22,-0.85%,21.56 M,23.06 - 33.24
SJM,J.M. Smucker Co,0.71%,109.70,+0.35,+0.32%,2.33 M,98.77 - 127.15
TAP,Molson Coors Beverage Co B,0.63%,58.89,-0.10,-0.17%,8.36 M,49.19 - 69.18
BG,Bunge Global SA,0.62%,73.25,-0.70,-0.95%,10.33 M,67.40 - 114.92
HRL,Hormel Foods Corp,0.53%,29.98,+0.30,+1.01%,9.49 M,27.59 - 36.86
WBA,Walgreens Boots Alliance Inc,0.48%,11.10,-0.02,-0.18%,37.25 M,8.08 - 22.05
LW,Lamb Weston Holdings Inc,0.46%,53.08,+0.33,+0.63%,4.6 M,47.90 - 107.50
CPB,The Campbell's Company,0.45%,38.08,+0.10,+0.26%,10.78 M,36.92 - 52.81
BF.b,Brown-Forman Corp B,0.38%,34.65,-0.27,-0.77%,8.05 M,30.48 - 52.45
