Index Holdings and weightings as of 6:38 PM ET 03/21/2025,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
AMT,American Tower Corp A,9.53%,216.23,+1.96,+0.91%,6.33 M,170.46 - 243.56
PLD,ProLogis Inc,9.48%,108.42,-3.65,-3.26%,7.53 M,100.82 - 132.57
WELL,Welltower Inc,8.18%,146.52,-1.37,-0.93%,12.75 M,87.87 - 158.55
EQIX,Equinix Inc,7.60%,834.59,-17.13,-2.01%,1.62 M,684.14 - 994.03
SPG,Simon Property Group A,4.69%,162.10,-2.35,-1.43%,3.09 M,139.25 - 190.14
O,Realty Income Corp,4.61%,55.80,-0.66,-1.17%,10.84 M,50.65 - 64.88
DLR,Digital Realty Trust,4.42%,150.38,-1.03,-0.68%,4.77 M,135.54 - 198.00
CCI,Crown Castle Inc.,4.36%,106.39,+1.80,+1.72%,9.22 M,84.20 - 120.92
PSA,Public Storage,4.33%,291.14,-5.34,-1.80%,1.42 M,256.31 - 369.99
CBRE,CBRE Group Inc.,3.68%,129.78,-0.35,-0.27%,3.45 M,84.24 - 147.75
VICI,VICI Properties Inc.,3.14%,31.53,-0.48,-1.50%,14.68 M,27.08 - 34.29
CSGP,Costar Group Inc,3.12%,78.46,-0.56,-0.71%,4.38 M,68.26 - 97.73
EXR,Extra Space Storage Inc,2.88%,143.80,-2.07,-1.42%,1.77 M,131.02 - 184.87
AVB,AvalonBay Communities Inc,2.81%,209.56,-1.94,-0.92%,1.49 M,177.40 - 239.29
VTR,Ventas Inc,2.65%,66.85,-0.86,-1.27%,10.42 M,41.45 - 71.04
IRM,Iron Mountain Inc,2.42%,87.54,-0.89,-1.01%,3.12 M,73.53 - 130.24
EQR,Equity Residential,2.25%,69.81,-0.36,-0.51%,3.05 M,59.48 - 78.84
SBAC,SBA Communications Corp,2.25%,221.64,+0.67,+0.30%,1.21 M,183.64 - 252.64
WY,Weyerhaeuser Co,2.00%,29.18,-0.93,-3.09%,6.49 M,26.73 - 36.27
INVH,Invitation Homes,1.82%,33.87,-0.17,-0.50%,5.62 M,30.13 - 37.80
ESS,Essex Property Trust,1.82%,300.06,-2.02,-0.67%,0.85 M,230.90 - 317.73
MAA,Mid-America Apt Communties,1.78%,161.27,-1.30,-0.80%,1.54 M,123.73 - 173.38
ARE,Alexandria Real Estate Eqty,1.41%,96.27,-0.71,-0.73%,2.21 M,93.25 - 130.14
DOC,Healthpeak Properties Inc.,1.32%,20.03,-0.32,-1.57%,7.43 M,17.45 - 23.26
KIM,Kimco Realty Corp,1.32%,20.75,-0.16,-0.77%,10.87 M,17.57 - 25.83
UDR,UDR Inc,1.23%,43.36,-0.28,-0.64%,3.84 M,35.14 - 47.55
CPT,Camden Property Trust,1.20%,119.21,-0.84,-0.70%,1.7 M,94.75 - 127.69
REG,Regency Centers Corp,1.10%,71.50,-0.54,-0.75%,1.51 M,56.51 - 78.18
HST,Host Hotels & Resorts Inc,0.97%,14.69,-0.27,-1.80%,19.64 M,14.25 - 21.27
BXP,"BXP, Inc.",0.94%,68.34,-0.13,-0.19%,2.9 M,56.46 - 90.11
FRT,Federal Realty Invt Trust,0.69%,95.10,-2.22,-2.28%,1.68 M,94.58 - 118.34
