Index Holdings and weightings as of 6:38 PM ET 03/21/2025,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
NEE,NextEra Energy Inc,12.18%,70.88,-0.27,-0.38%,15.78 M,61.30 - 86.10
SO,Southern Co,8.18%,89.36,-0.61,-0.68%,8.33 M,67.53 - 94.45
DUK,Duke Energy Corp,7.69%,119.10,-1.06,-0.88%,5.85 M,92.75 - 121.47
CEG,Constellation Energy Corp,5.82%,222.48,+3.04,+1.39%,3.73 M,155.60 - 352.00
AEP,American Electric Power,4.68%,105.11,-1.10,-1.04%,5.65 M,79.16 - 109.52
D,Dominion Energy Inc,3.83%,54.55,-0.43,-0.78%,7.96 M,46.56 - 61.97
VST,Vistra Corp.,3.71%,130.58,-1.32,-1.00%,7.48 M,64.26 - 199.84
SRE,Sempra,3.68%,69.54,-0.46,-0.66%,7.24 M,64.89 - 95.77
EXC,Exelon Corp,3.68%,43.80,-0.79,-1.77%,15.73 M,34.01 - 45.20
PEG,Public Service Enterprise Grp,3.46%,82.98,-0.32,-0.38%,5.34 M,64.03 - 95.22
XEL,Xcel Energy Inc,3.32%,69.11,-0.98,-1.40%,6.69 M,51.58 - 73.38
ED,Consolidated Edison Inc,3.12%,107.80,-0.68,-0.63%,4.42 M,87.16 - 109.36
PCG,PG&E Corporation,3.08%,16.88,-0.32,-1.86%,31.89 M,14.99 - 21.72
ETR,Entergy Corp,3.01%,83.88,-0.76,-0.90%,9.13 M,50.19 - 88.38
WEC,WEC Energy Group Inc,2.82%,106.81,-1.00,-0.93%,5.33 M,77.47 - 110.19
DTE,DTE Energy Co,2.37%,137.11,+0.17,+0.12%,3.75 M,103.06 - 138.22
AWK,American Water Works Co Inc,2.30%,141.13,-0.68,-0.48%,2.61 M,113.34 - 152.07
AEE,Ameren Corp,2.21%,98.91,-1.06,-1.06%,3.58 M,69.39 - 104.10
PPL,PPL Corp,2.14%,34.76,-0.22,-0.63%,8.73 M,25.93 - 35.91
CNP,Centerpoint Energy Inc,1.95%,35.77,-0.19,-0.53%,8.62 M,25.41 - 36.19
ATO,Atmos Energy Corp,1.93%,148.63,-2.19,-1.45%,1.94 M,110.97 - 154.55
EIX,Edison Intl,1.88%,58.17,-0.75,-1.27%,11.83 M,49.06 - 88.77
ES,Eversource Energy,1.87%,60.93,-0.67,-1.09%,4.54 M,54.75 - 69.01
CMS,CMS Energy Corp,1.84%,73.50,-0.19,-0.26%,4.95 M,56.61 - 75.06
NRG,NRG Energy,1.70%,100.66,+1.02,+1.02%,7.62 M,65.11 - 117.26
FE,FirstEnergy Corp,1.70%,39.56,-0.25,-0.63%,7.46 M,36.81 - 44.97
NI,Nisource Inc,1.53%,39.23,-0.34,-0.86%,10.56 M,26.26 - 41.45
LNT,Alliant Energy Corp,1.35%,63.05,-0.50,-0.79%,3.63 M,47.23 - 66.54
EVRG,Evergy Inc.,1.30%,67.45,-0.52,-0.77%,3.43 M,49.55 - 69.93
PNW,Pinnacle West Capital (AZ),0.89%,93.76,-0.44,-0.47%,2.08 M,70.73 - 95.42
AES,AES Corp,0.78%,13.05,-0.11,-0.84%,23.66 M,9.88 - 22.21
