Index Holdings and weightings as of 6:38 PM ET 03/21/2025,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
LLY,Eli Lilly & Co,12.37%,837.57,-5.00,-0.59%,5.96 M,711.40 - 972.53
UNH,Unitedhealth Group Inc,8.91%,516.85,+5.55,+1.09%,10.24 M,436.38 - 630.73
JNJ,Johnson & Johnson,7.38%,163.63,+0.61,+0.37%,17.05 M,140.68 - 169.99
ABBV,AbbVie Inc.,6.96%,210.01,-1.95,-0.92%,16.66 M,153.58 - 218.66
MRK,Merck & Co Inc,4.41%,93.11,-1.62,-1.71%,68.44 M,81.04 - 134.63
ABT,Abbott Laboratories,4.11%,126.34,-0.44,-0.35%,8.86 M,99.71 - 141.23
TMO,Thermo Fisher Scientific,3.71%,517.72,-0.92,-0.18%,2.19 M,493.30 - 627.88
ISRG,Intuitive Surgical Inc,3.29%,492.49,+0.68,+0.14%,3.38 M,364.17 - 616.00
AMGN,Amgen Inc,3.18%,316.04,+1.00,+0.32%,10 M,253.30 - 346.85
PFE,Pfizer Inc,2.79%,26.28,+0.09,+0.34%,350 M,24.48 - 31.54
BSX,Boston Scientific Corp,2.78%,100.69,-0.82,-0.81%,8.62 M,66.80 - 107.17
DHR,Danaher Corp,2.55%,211.36,+1.11,+0.53%,6.46 M,196.80 - 281.70
GILD,Gilead Sciences Inc,2.50%,107.08,+1.21,+1.14%,26.5 M,62.07 - 119.96
VRTX,Vertex Pharmaceuticals Inc,2.43%,503.20,-6.98,-1.37%,2.28 M,377.85 - 519.88
SYK,Stryker Corp,2.39%,371.11,-3.11,-0.83%,2.37 M,314.93 - 406.19
BMY,Bristol-Myers Squibb,2.32%,61.07,+0.65,+1.08%,25.87 M,39.35 - 63.33
MDT,Medtronic plc,2.17%,90.33,-0.89,-0.98%,14.03 M,75.96 - 96.25
ELV,"Elevance Health, Inc.",1.86%,427.19,-7.09,-1.63%,3.03 M,362.21 - 567.26
CI,The Cigna Group,1.65%,316.65,-4.74,-1.47%,3.55 M,262.03 - 370.83
CVS,CVS Health Corporation,1.58%,67.05,-1.59,-2.32%,18.11 M,43.56 - 80.75
MCK,McKesson Corp,1.57%,661.17,-5.19,-0.78%,1.97 M,464.42 - 670.79
ZTS,Zoetis Inc,1.38%,163.03,-0.13,-0.08%,2.89 M,144.80 - 200.33
REGN,Regeneron Pharmaceuticals Inc,1.30%,658.48,-4.14,-0.62%,1.87 M,642.00 - 1211.20
BDX,Becton Dickinson & Co,1.25%,230.23,-1.62,-0.70%,4.37 M,218.75 - 251.99
HCA,HCA Healthcare Inc,1.12%,328.79,-4.73,-1.42%,3.39 M,289.98 - 417.14
COR,"Cencora, Inc.",0.88%,267.43,-0.41,-0.15%,6.53 M,214.77 - 271.08
EW,Edwards Lifesciences Corp,0.78%,70.46,-0.49,-0.69%,7.14 M,58.93 - 96.12
GEHC,GE Healthcare Technologies Inc.,0.70%,81.49,-0.32,-0.39%,4.3 M,74.51 - 94.80
A,Agilent Technologies Inc,0.65%,120.75,+0.47,+0.39%,3.04 M,117.17 - 155.35
IDXX,IDEXX Laboratories Inc,0.65%,420.99,+0.37,+0.09%,0.71 M,398.50 - 548.88
RMD,ResMed Inc,0.60%,219.70,-1.41,-0.64%,1.17 M,172.19 - 263.05
IQV,IQVIA Holdings Inc,0.60%,185.89,+1.63,+0.88%,3.24 M,179.28 - 254.80
HUM,Humana Inc,0.60%,266.17,-0.66,-0.25%,1.96 M,213.31 - 406.46
CAH,Cardinal Health Inc,0.60%,131.89,-1.19,-0.89%,5.71 M,93.17 - 133.67
CNC,Centene Corp,0.56%,58.90,-0.72,-1.21%,7.87 M,55.03 - 80.59
DXCM,DexCom Inc,0.54%,73.80,-1.31,-1.74%,5.56 M,62.34 - 142.00
MTD,Mettler-Toledo Intl,0.47%,1199.21,-1.17,-0.10%,0.21 M,1142.91 - 1546.93
ZBH,Zimmer Biomet Holdings Inc,0.41%,110.73,-1.05,-0.94%,2.94 M,97.69 - 133.90
STE,STERIS plc,0.41%,220.42,-5.05,-2.24%,1.35 M,197.82 - 248.24
WAT,Waters Corp,0.41%,365.46,+2.24,+0.62%,0.87 M,279.24 - 423.56
BIIB,Biogen Inc,0.38%,140.90,-0.48,-0.34%,3.44 M,128.51 - 238.00
LH,Labcorp Holdings Inc.,0.37%,234.21,-1.57,-0.67%,0.85 M,191.97 - 258.59
PODD,INSULET CORP,0.35%,268.32,+2.93,+1.10%,1.3 M,160.19 - 289.46
DGX,Quest Diagnostics,0.35%,167.11,+0.65,+0.39%,1.44 M,125.42 - 178.87
MOH,Molina Healthcare,0.33%,309.93,-5.33,-1.69%,1.05 M,262.32 - 423.92
BAX,Baxter Intl Inc,0.32%,33.19,-0.25,-0.75%,8.14 M,28.34 - 43.99
WST,West Pharmaceutical Services Inc,0.31%,228.68,+1.17,+0.51%,2.64 M,197.01 - 397.72
COO,Cooper Companies Inc,0.30%,81.71,+1.32,+1.64%,3.71 M,77.05 - 112.38
HOLX,Hologic Inc,0.27%,61.47,+0.46,+0.75%,7.42 M,60.34 - 84.67
RVTY,"Revvity, Inc.",0.24%,107.29,+0.31,+0.29%,1.28 M,97.32 - 129.50
ALGN,Align Technology Inc,0.22%,168.61,-0.20,-0.12%,1.88 M,158.13 - 331.64
MRNA,"Moderna, Inc.",0.21%,32.66,+0.21,+0.65%,9.33 M,29.25 - 170.47
VTRS,Viatris Inc,0.20%,9.15,-0.29,-3.07%,71.87 M,8.77 - 13.55
UHS,Universal Health Services B,0.19%,174.14,-4.56,-2.55%,1.4 M,152.69 - 243.25
SOLV,Solventum Corp.,0.19%,73.97,-1.02,-1.36%,1.92 M,0.00 - 0.00
INCY,Incyte Corp,0.19%,61.92,+1.34,+2.21%,4.33 M,50.35 - 83.95
