Index Holdings and weightings as of 6:38 PM ET 03/21/2025,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
AMZN,Amazon.com Inc,21.12%,196.21,+1.26,+0.65%,60.06 M,151.61 - 242.52
TSLA,"Tesla, Inc",12.68%,248.71,+12.45,+5.27%,132.73 M,138.80 - 488.54
HD,Home Depot Inc,6.37%,351.15,-4.37,-1.23%,8.21 M,323.77 - 439.37
MCD,McDonald's Corp,5.58%,305.44,-1.56,-0.51%,6.02 M,243.53 - 326.32
BKNG,Booking Holdings Inc,4.72%,4617.26,+28.23,+0.62%,0.57 M,3180.00 - 5337.24
TJX,TJX Cos Inc,4.12%,116.12,-0.13,-0.11%,7.15 M,92.35 - 128.00
LOW,Lowe's Cos Inc,4.05%,227.07,+0.81,+0.36%,6.35 M,211.80 - 287.01
SBUX,Starbucks Corp,3.46%,97.07,-2.21,-2.23%,11.37 M,71.55 - 117.46
NKE,NIKE Inc B,2.54%,67.94,-3.92,-5.46%,77.29 M,65.17 - 98.04
ORLY,O'Reilly Automotive,2.43%,1339.09,-4.06,-0.30%,0.51 M,947.49 - 1389.05
CMG,Chipotle Mexican Grill Inc.,2.08%,48.53,-0.47,-0.96%,19.46 M,47.55 - 69.26
AZO,AutoZone Inc,1.92%,3606.34,+32.96,+0.92%,0.21 M,2728.97 - 3704.43
HLT,Hilton Worldwide Holdings  Inc,1.76%,229.33,-2.58,-1.11%,4.38 M,193.86 - 275.22
ABNB,"Airbnb, Inc. Class A",1.75%,128.80,+2.65,+2.10%,8.7 M,110.38 - 170.00
MAR,Marriott Intl A,1.72%,237.49,-7.35,-3.00%,4.3 M,204.55 - 307.52
GM,General Motors Company,1.72%,49.80,+0.36,+0.73%,37.62 M,38.96 - 61.24
RCL,Royal Caribbean Group,1.68%,215.49,+0.77,+0.36%,3.61 M,125.06 - 277.08
YUM,Yum! Brands Inc,1.37%,156.75,-1.14,-0.72%,3.07 M,122.13 - 163.30
ROST,Ross Stores Inc,1.29%,123.54,-1.06,-0.85%,6.66 M,122.36 - 163.60
F,Ford Motor Co,1.23%,10.00,-0.01,-0.10%,240.64 M,9.06 - 14.85
DHI,Horton D.R. Inc,1.18%,128.84,-2.29,-1.75%,7.75 M,124.23 - 199.85
LULU,Lululemon Athletica inc,1.15%,322.62,-1.83,-0.56%,1.99 M,226.01 - 423.32
GRMN,Garmin Ltd,1.01%,210.19,+1.48,+0.71%,4.66 M,138.86 - 246.50
EBAY,eBay Inc.,0.99%,65.78,-0.56,-0.84%,15.35 M,48.52 - 71.61
TSCO,Tractor Supply Co,0.88%,52.46,+0.62,+1.20%,6.33 M,48.30 - 61.53
LEN,Lennar Corp A,0.86%,115.22,-4.85,-4.04%,12.34 M,111.26 - 193.80
DRI,Darden Restaurants Inc,0.74%,199.93,+0.92,+0.46%,2.51 M,135.87 - 203.47
NVR,NVR Inc,0.69%,7184.79,-103.13,-1.42%,0.06 M,7015.00 - 9964.77
CCL,Carnival Corp,0.68%,20.94,-0.26,-1.23%,59.55 M,13.78 - 28.72
EXPE,"Expedia Group, Inc.",0.67%,173.81,+0.72,+0.42%,4.42 M,107.25 - 207.73
PHM,Pulte Group Inc,0.66%,102.72,-2.62,-2.49%,8.82 M,100.35 - 149.47
DECK,Deckers Outdoor,0.56%,117.86,+2.19,+1.89%,5.55 M,112.10 - 223.98
TPR,"Tapestry, Inc",0.54%,73.12,+0.21,+0.29%,24.28 M,35.23 - 90.85
ULTA,"Ulta Beauty, Inc",0.52%,350.57,+9.68,+2.84%,1.73 M,309.01 - 529.67
GPC,Genuine Parts Co,0.52%,118.78,-1.96,-1.62%,3.06 M,112.74 - 164.45
DPZ,Domino's Pizza Inc,0.50%,461.40,-4.65,-1.00%,0.71 M,396.06 - 542.75
APTV,Aptiv plc,0.46%,62.45,-0.03,-0.05%,9.01 M,51.47 - 85.56
LVS,Las Vegas Sands,0.46%,41.93,-0.95,-2.22%,7.76 M,36.62 - 56.61
BBY,Best Buy Co Inc,0.45%,73.56,+0.08,+0.11%,6.85 M,69.29 - 103.71
POOL,Pool Corp,0.38%,320.14,-0.20,-0.06%,0.44 M,293.51 - 420.00
KMX,Carmax Inc,0.35%,71.32,-0.37,-0.52%,2.97 M,65.83 - 91.25
LKQ,LKQ Corp,0.33%,40.40,-0.58,-1.42%,7.15 M,35.56 - 53.68
RL,Ralph Lauren Corp A,0.28%,224.03,-1.10,-0.49%,2.32 M,155.96 - 289.33
NCLH,Norwegian Cruise Line Holdings Ltd,0.28%,20.40,+0.31,+1.54%,19.96 M,14.69 - 29.29
HAS,Hasbro Inc,0.25%,60.57,+0.19,+0.31%,5.51 M,54.05 - 73.46
WYNN,Wynn Resorts Ltd,0.24%,82.63,-0.44,-0.53%,4.33 M,71.63 - 110.38
MGM,MGM Resorts International,0.22%,31.42,-1.11,-3.41%,13.13 M,29.99 - 48.25
BWA,Borgwarner Inc,0.20%,28.70,-0.25,-0.86%,55.74 M,27.65 - 38.23
MHK,Mohawk Industries Inc,0.18%,111.87,-2.40,-2.10%,1.7 M,104.88 - 164.29
CZR,"Caesars Entertainment, Inc.",0.18%,27.36,-0.89,-3.15%,9.46 M,26.42 - 45.93
